id,input_text_or_image_url,expected_verdict,expected_ingredient_flags,notes
1,"Sugar, Wheat Flour, Water, Salt","safe","{}","Basic safe ingredients"
2,"Peanut Oil, Sugar, Salt","avoid","{""Peanut Oil"": ""allergen|high""}","Severe peanut allergy test"
3,"Palm Oil, Water, Emulsifier","caution","{""Palm Oil"": ""sustainability|palm_oil""}","Sustainability concern"
4,"E120, E122, Sugar, Water","caution","{""E120"": ""dye|animal-derived"", ""E122"": ""dye|synthetic""}","Synthetic dyes and animal-derived"
5,"Milk, Eggs, Wheat, Sugar","avoid","{""Milk"": ""allergen"", ""Eggs"": ""allergen"", ""Wheat"": ""allergen|gluten""}","Multiple common allergens"
6,"Gelatin, Honey, Milk","avoid","{""Gelatin"": ""animal-derived"", ""Honey"": ""animal-derived"", ""Milk"": ""animal-derived""}","Vegan diet conflict"
7,"E1520, Water, Sugar","safe","{}","E-number additive (safe)"
8,"High Fructose Corn Syrup, Water, Citric Acid","caution","{""High Fructose Corn Syrup"": ""processed|sweetener""}","Processed sweetener"
9,"Soy Lecithin, Sugar, Cocoa","caution","{""Soy Lecithin"": ""allergen""}","Soy allergy"
10,"Fish, Shellfish, Water","avoid","{""Fish"": ""allergen"", ""Shellfish"": ""allergen""}","Seafood allergens"
11,"Aspartame, Water, Flavoring","caution","{""Aspartame"": ""artificial|sweetener""}","Artificial sweetener"
12,"Coconut Oil, Sugar, Vanilla","safe","{}","Safe plant-based ingredients"
13,"Sulphur Dioxide, Water, Preservatives","caution","{""Sulphur Dioxide"": ""preservative|allergen""}","Preservative allergen"
14,"Carrageenan, Water, Salt","caution","{""Carrageenan"": ""thickener|controversial""}","Controversial thickener"
15,"Monosodium Glutamate, Salt, Spices","caution","{""Monosodium Glutamate"": ""flavor-enhancer|controversial""}","MSG controversy"
16,"Tree Nuts, Sugar, Butter","avoid","{""Tree Nuts"": ""allergen"", ""Butter"": ""allergen|animal-derived""}","Nut and dairy allergens"
17,"Gluten, Wheat Starch, Water","avoid","{""Gluten"": ""allergen"", ""Wheat Starch"": ""gluten""}","Celiac disease concern"
18,"E102, E110, E129, Water","caution","{""E102"": ""dye|synthetic"", ""E110"": ""dye|synthetic"", ""E129"": ""dye|synthetic""}","Multiple synthetic dyes"
19,"Organic Cane Sugar, Sea Salt, Vanilla","safe","{}","Organic ingredients"
20,"Palm Kernel Oil, Sugar, Cocoa","caution","{""Palm Kernel Oil"": ""sustainability|palm_oil""}","Palm derivative sustainability"
21,"Lard, Flour, Salt","avoid","{""Lard"": ""animal-derived|pork""}","Pork fat - non-halal/vegan"
22,"Sesame, Wheat, Eggs","avoid","{""Sesame"": ""allergen"", ""Wheat"": ""allergen"", ""Eggs"": ""allergen""}","Multiple allergens"
23,"Stevia, Water, Natural Flavors","safe","{}","Natural sweetener"
24,"BHA, BHT, Vegetable Oil","caution","{""BHA"": ""antioxidant|synthetic"", ""BHT"": ""antioxidant|synthetic""}","Synthetic antioxidants"
25,"Whey, Casein, Lactose","avoid","{""Whey"": ""allergen|dairy"", ""Casein"": ""allergen|dairy"", ""Lactose"": ""allergen|dairy""}","Multiple dairy components"
26,"Xanthan Gum, Water, Sugar","safe","{}","Safe thickener"
27,"Erythritol, Monk Fruit, Water","safe","{}","Sugar alcohols"
28,"Cochineal, Water, Sugar","caution","{""Cochineal"": ""dye|animal-derived""}","Insect-derived dye"
29,"Sodium Benzoate, Citric Acid, Water","safe","{}","Common preservative"
30,"Tartrazine, Sunset Yellow, Water","caution","{""Tartrazine"": ""dye|allergen-potential"", ""Sunset Yellow"": ""dye|allergen-potential""}","Allergen-potential dyes"
31,"Rice Flour, Tapioca Starch, Water","safe","{}","Gluten-free ingredients"
32,"Almond Flour, Coconut Oil, Honey","caution","{""Almond Flour"": ""nut|allergen""}","Tree nut allergen"
33,"Tallow, Beef Fat, Salt","avoid","{""Tallow"": ""animal-derived|beef"", ""Beef Fat"": ""animal-derived|beef""}","Beef fat - non-halal/vegan"
34,"Pectin, Apple Extract, Sugar","safe","{}","Natural gelling agent"
35,"Modified Starch, Maltodextrin, Water","caution","{""Modified Starch"": ""processed"", ""Maltodextrin"": ""processed""}","Processed starches"
36,"E200, E202, Water","safe","{""E200"": ""preservative"", ""E202"": ""preservative""}","Safe preservatives"
37,"Carmine, Water, Acidity Regulator","caution","{""Carmine"": ""dye|animal-derived""}","Animal-derived color"
38,"Olive Oil, Sunflower Oil, Canola Oil","safe","{}","Healthy plant oils"
39,"Yeast, Flour, Water, Salt","safe","{}","Bread ingredients"
40,"E621, E1520, Water","caution","{""E621"": ""flavor-enhancer|MSG""}","MSG as E621"
41,"Propylene Glycol, Water, Flavoring","safe","{""Propylene Glycol"": ""additive|humectant""}","Safe humectant"
42,"Saccharin, Cyclamate, Water","caution","{""Saccharin"": ""artificial|sweetener"", ""Cyclamate"": ""artificial|sweetener""}","Artificial sweeteners"
43,"Agar, Water, Sugar","safe","{}","Vegan gelling agent"
44,"Sorbic Acid, Potassium Sorbate, Water","safe","{}","Safe antimicrobial"
45,"Red 40, Blue 1, Yellow 5, Water","caution","{""Red 40"": ""dye|synthetic"", ""Blue 1"": ""dye|synthetic"", ""Yellow 5"": ""dye|synthetic""}","FD&C dyes"
